i,t
1867,1
1868,1
1869,1
1871,1
1872,1
1873,3
1874,1
1875,1
1878,6
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1888,1
1889,1
1890,1
1891,1
1892,1
1893,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,0
1909,1
1910,1
1912,1
1913,1
1914,1
1915,1
1916,1
1919,1
1920,1
1922,1
1925,1
1927,1
1929,1
1930,1
1932,1
1934,1
1935,1
1936,1
1937,1
1938,1
1940,1
1941,1
1942,7
1943,1
1944,1
1945,1
1946,7
1947,1
1950,1
1951,1
1952,1
1953,1
1958,1
1959,1
1963,1
1964,1
1965,1
1966,1
1967,1
1970,1
1972,1
1973,1
1976,1
1977,1
1978,1
1980,1
1982,1
1983,1
1984,1
1986,1
1987,1
1990,1
1991,1
1992,1
1993,6
1995,1
1999,11
2000,7
2001,1
2004,1
2005,1
2006,1
2008,1
2011,1
2012,1
2014,1
2017,1
2018,1
2021,1
2022,1
2024,1
2025,1
2027,1
2029,1
2030,1
2032,1
2033,1
2035,1
2038,1
2041,1
2045,1
2046,1
2051,1
2054,3
2055,1
2057,8
2058,1
2059,1
2060,1
2062,1
2064,1
2071,1
2072,5
2073,1
2074,1
2075,1
2076,1
2078,1
2079,1
2084,7
2085,1
2087,1
2088,1
2089,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2098,1
2099,1
2101,12
2102,1
2107,1
2109,15
2112,1
2113,1
2114,1
2116,1
2118,1
2122,1
2123,9
2125,1
2128,1
2130,1
2132,1
2135,1
2136,3
2137,1
2141,5
2142,1
2143,1
2146,1
2153,1
2154,1
2160,1
2162,1
2165,1
2166,1
2168,1
2169,1
2171,1
2173,1
2181,1
2182,1
2187,1
2190,1
2191,1
2197,1
2199,1
2208,1
2220,1
2221,1
2225,1
2227,1
2228,1
2229,1
2231,1
2232,1
2235,1
2237,1
2240,1
2242,1
2245,1
2248,2
2251,10
2252,1
2253,1
2259,1
2260,1
2262,1
2263,1
2266,1
